Gene names	LFQ_Ctrl_U57_GC1_01_2070	LFQ_Ctrl_U57_GC1_01_2071	LFQ_Ctrl_U59_GC2_01_2072	LFQ_Ctrl_U59_GC2_01_2076	LFQ_Ctrl_U60_GA7_01_2029	LFQ_Ctrl_U60_GA7_01_2030	LFQ_Ctrl_U62_GA8_01_2031	LFQ_Ctrl_U62_GA8_01_2032	LFQ_Ctrl_U64_GC3_01_2078	LFQ_Ctrl_U64_GC3_01_2079	LFQ_Ctrl_U65_GB1_01_2033	LFQ_Ctrl_U65_GB1_01_2034	LFQ_Ctrl_U66_GB2_01_2035	LFQ_Ctrl_U66_GB2_01_2036	LFQ_Ctrl_U67_GC4_01_2081	LFQ_Ctrl_U67_GC4_01_2082	LFQ_Ctrl_U68_GC5_01_2083	LFQ_Ctrl_U68_GC5_01_2084	LFQ_Ctrl_U71_GB3_01_2037	LFQ_Ctrl_U71_GB3_01_2038	LFQ_HF.pEF_U10_GA3_01_2050	LFQ_HF.pEF_U10_GA3_01_2051	LFQ_HF.pEF_U11_GA4_01_2052	LFQ_HF.pEF_U11_GA4_01_2053	LFQ_HF.pEF_U16_GA6_01_2026	LFQ_HF.pEF_U16_GA6_01_2027	LFQ_HF.pEF_U2_GA2_01_2018	LFQ_HF.pEF_U2_GA2_01_2019	LFQ_HF.pEF_U24_GA5_01_2054	LFQ_HF.pEF_U24_GA5_01_2055	LFQ_HF.pEF_U4_GA3_01_2020	LFQ_HF.pEF_U4_GA3_01_2021	LFQ_HF.pEF_U5_GA2_01_2048	LFQ_HF.pEF_U5_GA2_01_2049	LFQ_HF.pEF_U8_GA4_01_2022	LFQ_HF.pEF_U8_GA4_01_2023	LFQ_HF.pEF_U9_GA5_01_2024	LFQ_HF.pEF_U9_GA5_01_2025	LFQ_HF.rEF_U30_GA6_01_2058	LFQ_HF.rEF_U30_GA6_01_2059	LFQ_HF.rEF_U34_GA7_01_2060	LFQ_HF.rEF_U34_GA7_01_2061	LFQ_HF.rEF_U37_GA8_01_2062	LFQ_HF.rEF_U37_GA8_01_2063	LFQ_HF.rEF_U39_GB4_01_2040	LFQ_HF.rEF_U39_GB4_01_2041	LFQ_HF.rEF_U42_GB5_01_2042	LFQ_HF.rEF_U42_GB5_01_2043	LFQ_HF.rEF_U46_GB1_01_2064	LFQ_HF.rEF_U46_GB1_01_2065	LFQ_HF.rEF_U48_GB2_01_2066	LFQ_HF.rEF_U48_GB2_01_2067	LFQ_HF.rEF_U53_GB5_01_2044	LFQ_HF.rEF_U53_GB5_01_2045	N: Peptides	N: Razor...unique.peptides	N: Unique.peptides	N: Sequence.coverage....	N: Unique...razor.sequence.coverage....	N: Unique.sequence.coverage....	N: Mol..weight..kDa.	N: Q.value	N: Score	N: Intensity	N: MS.MS.count	T: Protein.IDs	T: Majority.protein.IDs	T: Protein.names	T: Gene.names	T: id
CD9	20.0461	20.2343	17.338	19.8151	19.4586	19.5323	19.0159	20.2343	20.6163	21.4793	18.7123	19.6629	17.7727	19.1629	16.5123	19.4275	18.4547	14.0726	19.9126	20.0682	19.2525	19.2951	17.6315	18.682	19.3355	19.4663	19.3419	19.3689	20.8591	20.8111	18.6998	18.9592	19.4906	19.506	19.6629	20.216	19.7798	19.7427	19.8619	19.9311	19.7716	19.7329	19.5143	19.4181	19.6629	19.6998	18.1179	18.9592	20.2059	20.5672	20.3823	20.5147	18.7478	18.0295	3	3	3	26.4	26.4	26.4	17.764	0	86.281	95356000	392	"A6NNI4;A0A2R8Y478;A0A7I2V3T0;A0A7I2V3T7;G8JLH6;A0A087WU13;F5GXT1;P21926"	"A6NNI4;A0A2R8Y478;A0A7I2V3T0;A0A7I2V3T7;G8JLH6;A0A087WU13;F5GXT1;P21926"	"Tetraspanin;CD9 antigen"	CD9	24
OSCAR	21.0427	20.7185	20.527	20.4557	21.1827	20.963	20.5582	20.4877	19.4354	18.7783	20.0568	20.2837	20.0804	19.8802	19.71	20.1554	20.0461	20.2059	20.0804	20.1214	20.4211	20.4972	18.5667	18.514	20.4211	20.6264	20.7963	20.5359	20.7963	20.6387	19.4824	19.4354	19.6041	19.7873	20.8348	20.667	20.0251	20.0251	20.6387	20.591	20.1448	19.9823	19.7539	19.9732	20.9039	20.6387	20.0682	19.9521	19.7329	19.3419	20.1766	20.1853	20.0251	19.5954	9	9	1	55.6	55.6	8	30.851	0	53.215	301400000	701	"A0A087WV17;A0A0A0MR14;A0A0A0MRF2;A0A087X1R2"	"A0A087WV17;A0A0A0MR14;A0A0A0MRF2;A0A087X1R2"		OSCAR	25
DDC	17.9178	17.7098	19.0252	13.3987	19.5686	18.7123	12.9336	15.6885	17.1489	16.5945	16.4046	16.2229	16.8365	17.7354	18.0806	17.1763	18.9131	18.2751	17.7577	17.7018	19.2001	19.1015	18.4996	18.5067	17.6747	18.5385	15.7856	17.1672	16.3177	18.4928	17.6593	17.6157	17.8381	18.1757	18.6283	18.0806	14.8824	17.9827	16.9995	16.5413	17.5424	16.6648	18.574	18.5385	17.4744	17.9996	16.5687	16.5801	18.3855	18.5321	17.9827	18.7722	16.6046	13.677	6	6	6	24.4	24.4	24.4	49.697	0	19.826	34097000	61	"A0A087WV24;P20711;F8WER1;P20711-2;P20711-3;A0A087WU57;H7BZF7;P20711-4"	"A0A087WV24;P20711;F8WER1;P20711-2;P20711-3;A0A087WU57"	Aromatic-L-amino-acid decarboxylase	DDC	26
MUC1	20.3139	20.2201	20.0682	20.2943	21.7668	20.6947	19.671	20.2242	18.8767	18.8609	20.261	20.3491	19.4516	19.5954	21.3037	20.5776	18.907	19.2446	19.8054	19.8151	19.6202	19.5604	19.0678	19.1176	19.9311	19.9311	20.2343	20.2713	20.667	20.6801	19.1109	19.0839	20.4557	20.4645	20.8111	20.8348	20.0461	20.0804	19.7716	19.8329	19.8619	19.7959	20.0461	20.1448	20.6264	20.3944	19.6629	19.6288	20.6163	19.9311	19.9466	19.8329	19.7329	19.6998	6	6	6	5.1	5.1	5.1	122.94	0	226	243000000	323	"P15941-2;P15941-8;A0A0C4DGW3;A0A0A0MSH4;P15941-11;A0A087WVJ0;P15941-3;P15941-4;P15941;P15941-7;P15941-17;A0A0A0MRB3;B1AVQ7;A0A087X0L2;P15941-6;P15941-15;P15941-12;P15941-13;A6ZIE4;P15941-9;P15941-16;P15941-10;Q7Z536;A0A087WZZ6;A0A087X061;V9GZ38"	"P15941-2;P15941-8;A0A0C4DGW3;A0A0A0MSH4;P15941-11;A0A087WVJ0;P15941-3;P15941-4;P15941;P15941-7;P15941-17;A0A0A0MRB3;B1AVQ7;A0A087X0L2;P15941-6;P15941-15;P15941-12;P15941-13;A6ZIE4;P15941-9;P15941-16;P15941-10"	"Mucin-1;Mucin-1 subunit alpha;Mucin-1 subunit beta"	MUC1	28
CD177	18.4477	18.5321	18.6599	16.6648	16.9378	15.2736	18.6744	18.252	18.0806	17.8989	16.8889	17.3665	19.4005	19.3203	18.2441	18.3626	15.4507	15.9208	19.6629	19.4091	16.9576	17.1587	18.1472	18.1403	17.2237	18.1683	17.6157	18.3273	17.1489	15.2375	17.6895	17.8671	17.7354	17.0511	18.4263	18.7857	17.9914	17.7187	17.3969	17.0595	19.6629	19.6288	15.8096	15.8352	16.234	16.0335	15.8644	15.9457	18.7123	17.7811	19.7427	19.8802	15.5471	15.3618	8	8	8	27.7	27.7	27.7	46.381	0	36.874	51361000	123	"A0A087WVM2;Q8N6Q3;Q8N6Q3-2;A0A087X113;Q8N6Q3-3"	"A0A087WVM2;Q8N6Q3;Q8N6Q3-2"	CD177 antigen	CD177	29
CLTC	15.8644	15.8972	16.9289	17.6833	16.9085	15.9972	16.966	16.9472	16.5801	14.6294	16.0214	16.0335	15.346	15.6502	17.6433	17.7273	17.7273	18.252	17.6315	17.4744	16.2539	16.234	19.8054	19.7633	14.0987	15.3932	15.7488	15.346	15.8096	15.151	15.8644	16.0106	16.0648	16.1208	16.1781	16.2114	17.1587	16.09	16.4756	15.6885	15.0585	15.038	15.9208	16.0214	15.1221	15.038	17.7727	18.154	18.2833	18.0069	15.8352	15.2375	18.0952	18.0069	20	20	13	16.6	16.6	11.7	185.15	0	45.783	54772000	88	"A0A8V8TRE8;A0A8V8TQK1;A0A8V8TRF0;A0A8V8TR47;A0A087WVQ6;A0A8V8TQ14;K7EJJ5;Q00610-2;Q00610;A0A8V8TQK3;A0A8V8TQ18;J3KRF5;J3KS13;A0A8V8TQK7;F5H5N6"	"A0A8V8TRE8;A0A8V8TQK1;A0A8V8TRF0;A0A8V8TR47;A0A087WVQ6;A0A8V8TQ14;K7EJJ5;Q00610-2;Q00610;A0A8V8TQK3;A0A8V8TQ18"	"Clathrin heavy chain;Clathrin heavy chain 1"	CLTC	30
EEF1A1	18.9592	18.9002	20.6031	19.5782	19.7959	19.3689	18.559	18.5385	20.1021	19.9412	19.3355	19.4586	18.5967	18.5385	18.2833	19.7539	20.3944	20.6534	19.7716	19.8329	19.6451	19.7873	21.5717	21.335	17.3904	18.0806	17.5264	18.4011	19.2001	19.1851	17.9257	17.7438	18.9653	18.636	19.6892	19.7798	18.9806	19.1476	19.1706	19.2363	19.0678	18.7561	19.9632	19.8241	18.0295	17.8381	20.1656	20.1448	20.963	20.4775	19.8426	19.7873	20.2444	20.1943	13	13	13	46	46	46	49.824	0	124.72	192650000	266	"A0A7I2V659;A0A087WVQ9;Q5VTE0;P68104;A0A7I2V3H3;A0A7I2V5N4;A0A087WV01;A0A2U3TZH3;Q05639;A0A2R8Y488;Q5JR01;A0A2R8Y660;A6PW80;A0A6Q8PFK6;A0A2R8YDN5"	"A0A7I2V659;A0A087WVQ9;Q5VTE0;P68104;A0A7I2V3H3;A0A7I2V5N4;A0A087WV01;A0A2U3TZH3;Q05639"	"Putative elongation factor 1-alpha-like 3;Elongation factor 1-alpha 1;Elongation factor 1-alpha;Elongation factor 1-alpha 2"	"EEF1A1;EEF1A1P5;EEF1A2"	31
ALOX5AP	14.8991	16.8547	18.0576	18.845	17.4132	14.5452	16.616	16.2649	17.2081	17.4441	17.6366	15.8644	17.3828	12.9336	18.3711	16.6727	17.7577	17.6895	18.4778	19.2271	16.1998	14.7536	17.9068	18.7177	17.4049	17.831	15.2375	16.1113	14.6781	14.0397	14.9491	15.2375	15.8493	13.9008	16.4262	14.8309	16.8718	16.2114	18.6111	18.4547	14.3313	14.2425	14.5452	15.5471	15.2053	15.6731	18.4477	14.5202	18.5967	18.812	13.7795	16.5029	18.6508	18.7653	2	2	2	9.6	9.6	9.6	24.208	0.0019102	6.3604	19029000	48	"A0A087WW23;P20292"	"A0A087WW23;P20292"	Arachidonate 5-lipoxygenase-activating protein	ALOX5AP	32
NCAM1	18.0806	17.7354	17.1112	16.9378	17.8539	16.7891	13.5241	17.4292	17.034	17.2915	17.0858	17.1763	17.7577	17.5901	14.9491	16.5029	17.4744	17.489	17.338	17.7354	18.7177	18.6431	16.8718	16.8365	18.2751	17.9257	17.6516	17.8161	17.5745	17.6953	18.893	18.8849	18.574	18.7323	16.9472	16.691	18.4928	19.4586	19.1326	19.1629	18.9525	18.4547	17.5997	18.3273	18.0069	18.3359	18.0069	17.2081	14.2694	16.5945	18.2596	18.3359	17.0595	18.1018	9	9	9	20	20	20	80.311	0	21.298	54847000	174	"P13591-4;P13591;P13591-1;A0A087WWD4;A0A087WTE4;P13591-3;A0A087WV75;A0A087WX77;H7BYX6;A0A087WTF6;P13591-6;P13591-5;A0A087WZS4;A0A087X1V2;A0A0D9SF98;A0A087WVU1;A0A087WWJ5"	"P13591-4;P13591;P13591-1;A0A087WWD4;A0A087WTE4;P13591-3;A0A087WV75;A0A087WX77;H7BYX6;A0A087WTF6;P13591-6;P13591-5"	Neural cell adhesion molecule 1	NCAM1	34
TPM3	17.2003	17.1847	17.2915	17.9333	16.5593	17.1672	15.0928	15.436	16.6348	17.7962	16.4756	16.9819	18.0438	17.1847	18.2676	18.93	16.966	17.2237	17.138	17.1587	15.6885	15.0732	19.7633	19.9214	16.8639	17.9612	16.3834	15.4778	14.1593	16.9174	16.7427	17.0074	14.4765	18.1179	16.5315	16.2854	18.0069	16.6433	14.8991	16.0573	16.691	14.8492	13.1669	14.932	14.0024	15.2053	17.846	18.559	18.812	18.4477	15.6731	15.2053	18.4778	17.2643	9	9	6	29	29	18.1	28.922	0	41.001	39243000	37	"P06753-6;A0A087WWU8;P06753-3;P06753-4;P06753-5;P06753-2;D6R904;Q5VU61;A0A2R2Y2Q3;P06753;A0A494C0P6;J3KN67;A7XZE4;A0A2R8YEU4;H0YKX5;A0A494C0G0;A0A2R8YGX3;A0A2R8YH90;Q6ZN40;A0A2R8YHD2;H0YL80;A0A2R8Y5V9;A0A0S2Z4G6;Q5TCU3;P09493-3;P09493;H0YKP3;P09493-10;P09493-7;P09493-6;P09493-9;P09493-8;P09493-2;P07951;P07951-2;P09493-4;P07951-3;P06753-7"	"P06753-6;A0A087WWU8;P06753-3;P06753-4;P06753-5;P06753-2;D6R904;Q5VU61"	Tropomyosin alpha-3 chain	TPM3	35
BCAM	17.5264	16.9174	16.8807	15.038	19.0678	18.6048	15.6885	17.4744	18.4778	15.1385	18.812	18.8849	18.4477	18.7255	17.9767	17.2643	17.6593	17.6516	16.9289	16.8079	17.9827	18.0887	16.2442	16.1886	18.9131	18.7722	18.5222	18.6599	19.0768	19.0339	19.1552	19.1251	17.4818	17.4967	18.3557	17.519	17.1847	15.7726	17.8076	17.1587	19.2866	18.93	17.1015	17.8635	19.1326	19.0768	17.5424	17.5682	17.9333	16.9887	18.9207	18.8195	17.138	17.4638	13	13	13	29.1	29.1	29.1	63.693	0	21.682	77166000	132	"A0A087WXM8;P50895;K7ENU8;K7ERB7"	"A0A087WXM8;P50895;K7ENU8"	Basal cell adhesion molecule	BCAM	36
VTA1	17.1195	17.3904	18.5667	16.2442	19.3269	19.0159	18.545	18.4613	18.0887	17.4049	18.5667	18.869	17.7187	17.9827	18.419	17.9647	17.3969	17.3002	17.0511	17.4818	17.7354	17.9068	17.1847	17.2726	18.4778	18.2833	15.6141	15.8352	18.869	18.7063	17.9914	16.616	14.3802	13.1669	18.3855	18.559	18.9987	18.636	17.1311	14.1884	17.3574	17.505	17.5124	17.8707	15.1385	18.545	18.0231	14.5452	19.1326	18.8359	18.3711	18.3557	17.9612	15.0029	5	5	5	27.5	27.5	27.5	31.102	0	13.06	36973000	62	"A0A087WY55;Q9NP79;Q5TGM0;Q9NP79-2"	"A0A087WY55;Q9NP79;Q5TGM0;Q9NP79-2"	Vacuolar protein sorting-associated protein VTA1 homolog	VTA1	38
UBE2D2	15.6502	16.4471	14.7155	17.2478	16.9887	12.9336	13.868	14.2425	14.8991	14.4541	15.737	15.7488	16.0466	14.0987	16.7333	16.2963	14.0024	14.6986	16.2854	16.3073	16.0766	16.1781	18.0295	18.0438	13.6282	15.1852	16.1208	16.1321	16.2539	16.0214	16.9472	15.7488	15.4208	12.9336	14.7918	15.2893	16.9174	15.8644	16.3955	16.2743	15.9673	16.5687	16.5875	16.4362	15.9673	18.0231	16.9887	16.7333	16.3497	14.4284	15.0029	16.3718	17.2324	17.1587	2	2	2	35.7	35.7	35.7	11.065	0.0032258	4.1757	14171000	26	"D6RFM0;D6RAH7;H9KV45;A0A087WY85;P62837-2;P62837;P61077;P61077-2;P61077-3;D6RAW0"	"D6RFM0;D6RAH7;H9KV45;A0A087WY85;P62837-2;P62837;P61077;P61077-2;P61077-3;D6RAW0"	"Ubiquitin-conjugating enzyme E2 D2;Ubiquitin-conjugating enzyme E2 D3"	"UBE2D2;UBE2D3"	39
